commune,total_employed_population,of_which_wage_earners,of_which_non_wage_earners,unemployed,active_population,unemployment_rate_in_percent,year
Canton Echternach,7303,6543,760,664,7967,8.33437931467303,2013
Beaufort,1016,932,84,129,1145,11.2663755458515,2013
Bech,526,463,63,16,542,2.9520295202952,2013
Berdorf,690,620,70,76,766,9.92167101827676,2013
Consdorf,786,692,94,36,822,4.37956204379562,2013
Echternach,2167,1964,203,291,2458,11.8388934092758,2013
Mompach,503,440,63,27,530,5.09433962264151,2013
Rosport,924,800,124,47,971,4.84037075180227,2013
Waldbillig,691,632,59,42,733,5.72987721691678,2013
Canton Grevenmacher,11624,10494,1130,630,12254,5.14117839072956,2013
Betzdorf,1476,1342,134,51,1527,3.33988212180747,2013
Biwer,730,646,84,33,763,4.32503276539974,2013
Flaxweiler,868,772,96,31,899,3.44827586206897,2013
Grevenmacher,1987,1848,139,151,2138,7.06267539756782,2013
Junglinster,2824,2528,296,136,2960,4.59459459459459,2013
Manternach,796,719,77,35,831,4.21179302045728,2013
Mertert,1801,1660,141,121,1922,6.2955254942768,2013
Wormeldange,1142,979,163,72,1214,5.93080724876442,2013
Canton Remich,8963,7974,989,588,9551,6.15642341116113,2013
Bous,720,646,74,29,749,3.87182910547397,2013
Dalheim,877,791,86,35,912,3.83771929824561,2013
Lenningen,776,719,57,41,817,5.01835985312117,2013
Mondorf-les-Bains,1902,1716,186,165,2067,7.98258345428157,2013
Remich,1407,1243,164,148,1555,9.51768488745981,2013
Schengen,2047,1765,282,101,2148,4.70204841713222,2013
Stadtbredimus,781,703,78,52,833,6.24249699879952,2013
Waldbredimus,453,391,62,17,470,3.61702127659574,2013
Grand-Duche de Luxembourg,228423,208238,20185,19362,247785,7.81403232641201,2014
Canton Capellen,18166,16366,1800,1066,19232,5.54284525790349,2014
Dippach,1767,1606,161,122,1889,6.45844362096347,2014
Garnich,845,757,88,19,864,2.19907407407407,2014
Hobscheid,1505,1390,115,66,1571,4.20114576702737,2014
Kaerjeng,4129,3840,289,287,4416,6.49909420289855,2014
Kehlen,2172,1897,275,91,2263,4.02121078214759,2014
Koerich,1007,887,120,38,1045,3.63636363636364,2014
Kopstal,1268,1082,186,61,1329,4.58991723100075,2014
Mamer,3124,2782,342,202,3326,6.07336139506915,2014
Septfontaines,368,326,42,31,399,7.76942355889724,2014
Steinfort,1981,1799,182,149,2130,6.99530516431925,2014
Canton Esch,67511,63487,4024,7315,74826,9.77601368508273,2014
Bettembourg,4203,3913,290,332,4535,7.32083792723263,2014
Differdange,9835,9437,398,1419,11254,12.6088501866003,2014
Dudelange,8107,7621,486,838,8945,9.36836221352711,2014
Esch-sur-Alzette,13155,12452,703,1997,15152,13.1797782470961,2014
Frisange,1896,1731,165,89,1985,4.48362720403023,2014
Kayl,3539,3338,201,333,3872,8.60020661157025,2014
