"division","year","active_population","of_which_non_wage_earners","of_which_wage_earners","total_employed_population","unemployed","unemployment_rate_in_percent"
"Walferdange","2012",3.25,286,2.771,3.057,193,5.94
"Walferdange","2013",3.288,303,2.792,3.095,193,5.87
"Walferdange","2014",3.381,308,2.829,3.137,244,7.22
"Walferdange","2015",3.336,320,2.79,3.11,226,6.77
"Weiler-la-Tour","2001",581,66,506,572,9,1.55
"Weiler-la-Tour","2002",576,65,489,554,22,3.82
"Weiler-la-Tour","2003",564,69,475,544,20,3.55
"Weiler-la-Tour","2004",554,62,478,540,14,2.53
"Weiler-la-Tour","2005",556,63,478,541,15,2.7
"Weiler-la-Tour","2006",615,60,537,597,18,2.93
"Weiler-la-Tour","2007",679,66,599,665,14,2.06
"Weiler-la-Tour","2008",781,75,687,762,19,2.43
"Weiler-la-Tour","2009",813,80,707,787,26,3.2
"Weiler-la-Tour","2010",832,86,719,805,27,3.25
"Weiler-la-Tour","2011",866,88,759,847,19,2.19
"Weiler-la-Tour","2012",914,86,794,880,34,3.72
"Weiler-la-Tour","2013",926,88,803,891,35,3.78
"Weiler-la-Tour","2014",936,86,806,892,44,4.7
"Weiler-la-Tour","2015",986,80,870,950,36,3.65
"Weiswampach","2001",480,101,368,469,11,2.29
"Weiswampach","2002",494,100,381,481,13,2.63
"Weiswampach","2003",518,98,402,500,18,3.47
"Weiswampach","2004",524,103,405,508,16,3.05
"Weiswampach","2005",539,106,408,514,25,4.64
"Weiswampach","2006",556,114,410,524,32,5.76
"Weiswampach","2007",569,109,431,540,29,5.1
"Weiswampach","2008",600,114,457,571,29,4.83
"Weiswampach","2009",658,112,508,620,38,5.78
"Weiswampach","2010",680,112,532,644,36,5.29
"Weiswampach","2011",716,112,558,670,46,6.42
"Weiswampach","2012",719,117,564,681,38,5.29
"Weiswampach","2013",755,117,597,714,41,5.43
"Weiswampach","2014",818,117,647,764,54,6.6
"Weiswampach","2015",845,110,670,780,65,7.69
"Wiltz","2001",2.131,223,1.786,2.009,122,5.73
"Wiltz","2002",2.138,220,1.784,2.004,134,6.27
"Wiltz","2003",2.18,223,1.794,2.017,163,7.48
"Wiltz","2004",2.237,227,1.854,2.081,156,6.97
"Wiltz","2005",2.263,229,1.847,2.076,187,8.26
"Wiltz","2006",2.202,206,1.815,2.021,181,8.22
"Wiltz","2007",2.273,198,1.878,2.076,197,8.67
"Wiltz","2008",2.298,200,1.897,2.097,201,8.75
"Wiltz","2009",2.362,201,1.945,2.146,216,9.14
"Wiltz","2010",2.423,195,1.972,2.167,256,10.57
"Wiltz","2011",2.476,190,2.017,2.207,269,10.86
"Wiltz","2012",2.588,188,2.099,2.287,301,11.63
"Wiltz","2013",2.662,195,2.149,2.344,318,11.95
"Wiltz","2014",2.692,185,2.192,2.377,315,11.7
"Wiltz","2015",2.771,180,2.27,2.45,321,11.58
"Wincrange","2001",1.417,368,1.004,1.372,45,3.18
"Wincrange","2002",1.435,365,1.024,1.389,46,3.21
"Wincrange","2003",1.473,365,1.049,1.414,59,4.01
"Wincrange","2004",1.524,379,1.093,1.472,52,3.41
"Wincrange","2005",1.595,372,1.146,1.518,77,4.83
"Wincrange","2006",1.583,359,1.146,1.505,78,4.93
"Wincrange","2007",1.622,368,1.178,1.546,76,4.69
"Wincrange","2008",1.642,374,1.193,1.567,75,4.57
"Wincrange","2009",1.711,369,1.256,1.625,86,5.03
"Wincrange","2010",1.765,371,1.298,1.669,96,5.44
"Wincrange","2011",1.809,364,1.337,1.701,108,5.97
"Wincrange","2012",1.831,351,1.373,1.724,107,5.84
"Wincrange","2013",1.907,349,1.443,1.792,115,6.03
"Wincrange","2014",1.932,335,1.484,1.819,113,5.85
"Wincrange","2015",1.968,330,1.53,1.86,108,5.49
"Winseler","2001",325,61,254,315,10,3.08
"Winseler","2002",338,59,267,326,12,3.55
"Winseler","2003",376,61,292,353,23,6.12
"Winseler","2004",387,63,298,361,26,6.72
"Winseler","2005",386,60,300,360,26,6.74
"Winseler","2006",459,69,370,439,20,4.36
"Winseler","2007",471,70,371,441,30,6.37
"Winseler","2008",494,72,391,463,31,6.28
"Winseler","2009",497,75,393,468,29,5.84
"Winseler","2010",503,78,394,472,31,6.16
"Winseler","2011",491,80,384,464,27,5.5
"Winseler","2012",496,82,385,467,29,5.85
"Winseler","2013",510,82,389,471,39,7.65
"Winseler","2014",510,85,385,470,40,7.84
"Winseler","2015",526,90,400,490,36,6.84
"Wormeldange","2001",1.03,182,834,1.016,14,1.36
"Wormeldange","2002",1.037,182,834,1.016,21,2.03
"Wormeldange","2003",1.049,187,838,1.025,24,2.29
"Wormeldange","2004",1.072,188,858,1.046,26,2.43
"Wormeldange","2005",1.088,193,863,1.056,32,2.94
"Wormeldange","2006",1.117,188,896,1.084,33,2.95
"Wormeldange","2007",1.127,187,909,1.096,31,2.75
"Wormeldange","2008",1.129,184,920,1.104,25,2.21
"Wormeldange","2009",1.163,181,928,1.109,54,4.64
"Wormeldange","2010",1.186,174,956,1.13,56,4.72
"Wormeldange","2011",1.189,177,953,1.13,59,4.96
"Wormeldange","2012",1.178,170,951,1.121,57,4.84
"Wormeldange","2013",1.214,163,979,1.142,72,5.93
"Wormeldange","2014",1.253,160,1.015,1.175,78,6.23
"Wormeldange","2015",1.283,160,1.05,1.21,73,5.69
